Month,AMP,ABC,AME,AMGN,APH,APC,ADI,ANTM,AON,APA,AWK,AMT,AIG,AXP,AEP,AAL,AMZN,MO,AAPL,ALL,ADS,ALXN,LNT,AGN,ALB,ALK,AKAM,APD,A,AFL,AMG,AET,AES,AAP,ADBE,AYI,ATVI,CAN,ABBV,ABT,MMM,AVB,AVY,BHI,BLL,BAC,BK,BCR,BAX,BBT,BDX,AMAT,ADM,AJG,AIZ,T,ADSK,ADP,AN,AZO,BSX,BBBY,BRK.B,BBY,BIIB,BLK,HRB,BA,BWA,BXP,CHRW,BMY,AVGO,BF.B,COG,CPB,COF,CBOE,HSIC,KMX,CCL,CAT,CBG,CBS,CELG,CNC,CNP,CTL,CERN,CF,CINF,SCHW,CHTR,CHK,CVX,CMG,CB,CHD,CI,XEC,CINF,CTAS,CSCO,C,CFG,CTXS,CLX,CME,CMS,COH,KO,CTSH,CL,CMCSA,CMA,CAG,CXO,COP,ED,STZ,GLW,COST,COTY,CCI,CSRA,CSX,CMI,CVS,DHI,DHR,DRI,DVA,DE,DLPH,DAL,XRAY,DVN,DFS,DISH,DG,DLTR,D,DOV,DOW,DPS,DTE,DD,DUK,DNB,ETFC,EMN,ETN,EBAY,EIX,EW,EA,EMR,ETR,EVHC,EOC,EQT,EFX,EQIX,EQR,EL,ES,EXC,EXPD,ESRX,EXR,XOM,FFIV,FB,FAST,FRT,FDX,FIS,FISV,FLIR,FLS,FLR,FMC,FTI,FL,F,FBHS,FCX,FTR,GPS,GRMN,GD,GE,GGP,GIS,GM,GPC,GILD,GPN,GS,GT,GWW,HAL,HBI,HOG,HAR,HRS,HIG,HAS,HCA,HSIC,HES,HPE,HOLX,HD,HON,HRL,HUM,HBAN,IDXX,ITW,ILMN,IR,INTC,ICE,IBM,INCY,IP,IPG,IFF,INTU,ISRG,IVZ,JEC,JBHT,SJM,JNJ,JPM,JNPR,KSU,K,KEY,KMB,KIM,KMI,KLAC,KSS,KHC,KR,LB,LLL,LH,LRCX,LEG,LEN,LVLT,LUK,LLY,LNC,LKQ,LMT,L,LYB,MTB,MAC,MNK,MRO,MPC,MAR,MMC,MLM,MA,MAT,MKC,MCD,MCK,MJN,MDT,MRK,MET,MTD,KORS,MCHP,MU,MSFT,MAA,MHK,TAP,MDLZ,MON,MNST,MS,MCO,MOS,MSI,MUR,MYL,NDAQ,NOV,NAVI,NTAP,NFLX,NWL,NFX,NEM,NEE,NLSN,NKE,NI,NBL,JWN,NSC,NTRS,NOC,NRG,NUE,NVDA,ORLY,OXY,OMC,OKE,ORCL,PCAR,PH,PDCO,PAYX,PYPL,PNR,PBCT,PEP,PKI,PRGO,PFE,PM,PSX,PNW,PXD,PNC,RL,PPG,PPL,PX,PCLN,PFG,PG,PGR,PRU,PSA,PVH,QRVO,PWR,QCOM,DGX,RRC,RTN,O,RHT,REG,REGN,RF,RSG,RAI,RHI,ROK,COL,ROP,ROST,R,CRM,SCG,SLB,SNI,STX,SEE,SRE,SHW,SIG,SPG,SWKS,SLG,LUV,SWN,SPGI,SWK,SBUX,SRCL,SYK,STI,SYMC,SYF,SYY,TROW,TGT,TEL,TGNA,TDC,TSO,TXN,TXT,HSY,TRV,TMO,TIF,TJX,TSCO,TDG,RIG,TRIP,TSN,UDR,ULTA,USB,UNP,UL,UNH,UPS,URI,UTX,UHS,UNM,URBN,VFC,VLO,VAR,VTR,VRSN,VRSK,VZ,VRTX,VIAB,V,VNO,VMC,WMT,DIS,WM,WAT,WEC,WFC,HCN,HCN,WDC,WI,WHR,WFM,WMB,WLTW,WYN,WYNN,XEL,XRX,XLNX,XYL,YHOO,YUM,ZBH,ZION,ZTS
2007-06,68,74,53,33,51,38,39,62,70,30,61,55,17,89,48,92,26,48,43,90,68,39,70,50,52,37,40,61,55,58,30,81,76,57,98,53,40,69,0,57,69,51,68,44,49,85,56,61,65,83,74,65,82,64,72,47,79,36,29,51,51,68,27,43,34,84,7,67,61,40,88,48,53,60,41,45,61,61,92,80,59,84,97,37,65,35,16,17,71,32,50,70,80,30,76,31,61,73,71,39,44,87,60,63,80,68,61,68,38,46,55,50,65,74,89,20,31,73,37,48,51,52,50,34,78,29,65,19,67,49,46,51,78,41,65,67,58,79,63,10,12,43,50,66,6,23,63,37,47,81,55,76,89,19,53,79,67,26,19,64,37,63,53,57,55,26,66,90,58,55,50,75,3,61,58,81,43,79,45,70,67,83,29,28,71,0,29,21,57,69,49,88,16,45,57,47,55,32,61,61,87,32,63,86,57,59,72,38,49,89,60,78,77,71,63,56,58,48,79,72,65,67,74,37,49,19,48,61,47,27,48,52,88,68,34,66,69,91,55,51,64,69,99,56,46,30,0,32,31,76,59,53,54,81,44,14,44,49,16,42,68,13,81,69,41,80,33,84,11,57,74,11,63,54,73,55,62,45,73,67,18,59,53,50,54,71,27,2,18,34,57,53,46,61,54,26,8,75,0,87,8,51,67,59,0,50,47,52,46,44,67,59,52,62,69,68,20,65,57,71,63,71,68,53,44,54,69,61,45,45,13,59,45,45,33,43,22,64,60,79,55,65,78,58,76,74,100,60,0,35,70,62,29,49,28,16,46,26,67,16,33,94,51,70,25,80,39,27,64,62,12,58,79,62,72,33,25,31,44,92,40,43,59,34,37,70,63,21,2,84,64,54,84,8,82,83,40,50,55,60,94,56,29,40,37,21,27,62,76,11,36,64,2,78,78,92,52,48,59,39,88,53,54,72,31,0,86,44,13,84,34,65,38,83,6,55,23,47,47,47,65,52,85,78,33,0,84,10,80,56,54,73,90,66,68,36,1
2007-07,74,69,56,34,50,48,40,62,74,31,67,55,17,90,48,96,28,51,41,89,55,49,69,46,62,31,40,65,51,55,32,86,65,62,94,73,41,72,0,62,70,44,68,42,64,87,66,50,70,86,70,62,82,56,84,55,75,38,31,53,63,80,30,45,34,82,9,93,64,38,79,43,57,64,34,47,65,70,90,87,64,85,96,46,61,38,17,15,71,39,57,78,85,33,83,29,57,57,77,57,59,87,58,67,80,67,69,79,40,43,56,54,67,78,91,23,72,83,41,35,54,56,53,30,57,35,67,16,72,55,54,53,77,37,66,63,44,92,70,12,12,49,45,68,7,26,61,39,50,83,57,79,89,17,54,74,69,27,31,57,31,67,54,65,54,31,72,82,59,60,51,69,3,66,49,83,40,79,40,70,63,87,19,32,75,18,36,22,58,72,53,87,17,43,60,41,46,37,60,66,89,34,54,92,58,50,84,58,48,87,59,80,80,73,63,58,52,48,72,75,64,69,80,35,49,25,43,65,47,26,61,53,91,73,34,68,65,89,73,46,65,72,94,58,52,32,0,32,34,73,59,66,65,81,44,13,44,49,24,44,71,29,82,54,37,80,40,88,12,42,77,13,61,54,74,44,64,46,81,68,11,58,54,49,37,75,26,2,16,31,54,59,34,63,52,29,5,67,0,80,9,60,62,68,0,48,49,57,37,48,67,60,56,50,65,70,21,67,61,57,61,74,70,44,50,55,58,59,51,43,13,60,42,45,30,49,26,64,64,78,55,75,89,60,78,78,99,54,0,35,62,64,29,50,15,16,68,28,72,18,40,94,51,71,39,86,38,24,84,63,21,59,68,87,78,30,27,41,82,92,44,40,50,34,34,74,66,21,1,76,73,59,88,21,85,71,37,46,61,54,88,57,33,38,15,31,30,46,79,11,37,65,1,83,81,100,49,40,72,43,92,53,53,75,30,0,90,49,14,90,50,67,41,88,7,56,37,46,29,29,67,53,88,86,39,0,86,9,81,55,52,63,94,69,72,36,1
2007-08,75,73,52,38,50,42,39,65,69,27,73,59,18,87,50,88,28,46,41,90,54,56,80,49,54,10,38,62,50,57,36,87,73,60,91,81,39,74,0,61,71,47,72,46,70,87,59,52,63,83,73,70,85,80,85,58,75,40,32,53,56,74,38,48,36,82,10,63,60,38,86,42,57,61,46,50,64,77,82,84,59,84,100,52,55,39,19,17,74,39,59,72,87,38,82,29,61,64,76,39,73,90,57,67,75,66,65,81,46,42,56,46,69,80,90,22,76,80,40,48,51,51,50,34,70,32,67,20,64,50,61,57,78,35,61,59,57,67,89,12,13,48,44,67,7,22,60,42,50,80,54,79,87,17,51,81,82,29,18,55,39,64,53,61,57,29,72,92,57,61,47,77,4,67,36,85,41,100,40,67,68,82,23,36,73,0,36,23,62,65,53,85,15,46,59,67,47,37,65,68,93,29,55,83,61,53,73,48,55,81,62,84,65,67,60,71,62,52,72,63,55,68,79,38,48,28,51,60,45,31,44,49,89,68,35,70,61,84,56,47,66,65,87,47,47,38,0,30,31,72,63,67,57,78,42,12,44,55,22,42,61,16,77,52,44,91,36,85,11,55,77,100,66,50,77,43,65,43,81,67,16,54,45,48,10,78,28,1,16,33,50,52,41,62,50,26,6,74,0,83,9,44,33,63,0,55,51,58,45,46,69,60,57,53,73,71,21,62,54,95,57,68,72,51,47,54,51,58,47,44,13,56,42,47,36,47,25,62,59,77,55,66,82,60,80,69,89,60,0,47,67,67,44,49,31,15,79,32,65,16,42,95,50,71,21,85,39,24,72,61,16,62,99,68,74,26,24,24,48,83,55,45,57,34,28,76,66,21,1,84,61,56,82,20,82,58,45,50,56,55,87,56,31,35,15,24,29,54,73,13,40,56,1,81,79,95,50,41,68,46,86,49,50,73,29,0,88,42,13,87,40,75,41,82,7,56,27,48,33,33,68,52,86,79,38,0,88,13,84,54,49,62,94,60,67,39,0
2007-09,65,61,48,31,50,41,38,60,72,28,56,56,17,82,46,79,28,40,53,79,41,54,63,46,57,48,37,61,46,52,29,77,67,54,92,65,37,68,0,58,67,41,67,44,59,79,53,58,62,79,68,60,86,53,74,58,79,35,27,50,48,59,32,46,32,71,9,59,58,38,77,42,48,57,41,67,59,58,86,73,55,85,98,64,58,47,17,15,66,36,42,65,78,34,79,26,56,68,70,34,39,87,55,64,67,63,64,73,28,43,55,43,69,75,80,24,48,73,34,25,46,48,49,33,55,40,65,17,55,50,52,60,76,36,57,71,54,62,83,9,11,41,46,65,3,15,57,36,45,70,58,75,89,19,60,90,71,25,32,53,28,56,46,57,62,28,68,77,52,51,46,78,4,58,48,79,43,71,45,62,72,80,31,30,71,0,29,21,65,57,52,82,12,53,62,49,44,37,60,68,82,28,38,75,74,49,69,43,52,81,57,84,73,60,64,55,63,51,72,61,67,63,77,35,47,15,49,65,49,27,64,43,87,63,35,67,59,79,34,45,57,63,86,45,42,36,0,29,28,66,52,44,68,77,47,13,47,53,19,41,56,17,73,63,36,76,41,75,12,48,72,45,71,51,71,46,63,45,75,68,19,59,40,49,44,74,30,1,17,39,51,44,44,58,54,26,6,73,0,82,8,45,52,65,7,52,52,51,45,46,62,55,53,59,71,73,21,55,47,50,54,71,68,48,45,53,45,49,50,42,12,56,46,35,34,36,20,62,61,77,53,52,77,65,74,62,77,53,0,27,62,59,33,47,38,14,62,29,64,15,31,94,46,71,26,80,27,24,71,62,18,57,83,57,66,29,25,26,43,82,37,59,50,35,25,71,59,21,1,83,58,52,90,18,78,69,52,43,53,50,89,53,33,35,6,21,25,50,65,12,33,56,1,84,75,80,50,52,65,44,83,47,50,76,29,0,81,39,15,80,41,51,37,81,6,58,27,42,35,35,67,44,84,74,42,0,75,8,74,55,50,73,94,59,68,18,1
2007-10,70,72,50,33,50,44,43,66,74,31,55,57,18,83,52,78,29,44,47,80,50,51,67,48,46,26,41,64,50,54,32,88,78,53,92,74,46,69,0,60,68,43,69,50,44,77,61,54,62,76,73,67,86,60,79,58,85,39,25,46,52,52,33,44,48,80,9,61,64,34,82,46,58,53,51,82,59,64,91,70,53,90,99,57,65,30,16,15,70,35,47,74,70,33,82,28,55,54,79,38,55,97,60,68,63,67,73,76,33,43,54,51,72,79,76,32,52,76,34,41,50,48,56,36,62,35,65,20,49,78,55,58,72,35,56,68,52,61,74,9,13,43,43,70,6,14,60,39,48,77,60,77,91,21,64,86,70,24,38,57,32,58,46,48,64,28,67,97,54,50,51,80,5,67,30,80,50,70,48,66,77,84,32,30,70,0,35,24,73,56,50,84,15,53,59,46,50,39,59,81,87,29,46,65,63,53,75,46,56,91,58,83,98,57,75,64,70,57,74,70,75,65,77,38,47,22,52,70,45,29,100,53,93,62,32,69,69,86,52,47,56,67,80,48,49,36,0,31,36,71,55,50,71,72,46,10,46,57,21,43,53,16,71,57,41,85,47,75,12,53,72,23,74,60,73,48,87,47,78,71,11,62,46,49,42,74,60,2,19,43,58,49,48,54,53,27,5,81,0,85,8,52,65,72,7,59,47,56,47,46,77,55,55,44,67,73,19,55,55,57,58,81,68,70,46,55,42,48,52,48,12,61,45,48,31,58,21,60,66,70,56,52,83,69,71,62,74,57,0,32,78,63,29,46,27,15,65,28,65,15,29,99,50,66,27,80,28,27,70,64,16,57,68,61,62,28,27,26,46,77,62,59,53,37,30,76,55,20,2,84,66,53,89,16,92,84,44,48,64,54,94,59,34,33,15,26,23,49,74,12,42,54,0,87,79,78,50,52,66,44,89,47,53,76,28,0,76,54,13,79,43,72,39,76,6,58,44,40,49,49,68,48,83,73,34,0,83,13,79,56,53,74,93,71,66,43,0
2007-11,60,61,49,24,46,37,40,61,91,30,52,50,17,86,47,76,36,42,50,79,55,39,65,44,45,17,35,58,47,53,37,86,67,50,94,75,72,64,0,55,67,34,70,43,33,79,54,39,61,80,75,65,81,57,71,60,82,36,27,48,47,75,37,76,33,79,10,57,60,35,85,40,49,55,35,85,61,67,88,69,50,90,90,56,77,25,16,15,68,37,42,74,76,31,77,26,54,63,81,21,43,92,59,80,68,66,62,82,28,43,73,48,67,76,81,20,42,65,33,58,50,63,65,28,57,35,62,19,42,49,53,54,74,34,54,60,50,56,77,10,15,41,41,63,2,14,60,35,45,97,58,73,97,23,55,90,68,23,32,52,38,53,52,47,74,25,61,80,51,46,51,79,6,56,46,78,62,75,49,69,76,76,35,33,69,14,38,21,86,78,50,86,16,61,57,38,48,34,61,80,79,25,51,62,66,51,65,69,46,89,80,85,83,61,80,65,69,59,69,67,57,62,80,36,45,22,47,66,37,28,61,44,94,60,40,61,63,85,56,39,57,61,62,44,38,58,0,34,40,59,52,44,62,63,50,10,45,48,18,39,61,18,74,60,44,83,34,68,12,35,77,30,75,54,64,42,70,46,76,67,21,59,42,48,30,70,41,1,17,41,53,42,53,54,49,25,10,74,0,81,8,44,46,63,0,50,48,51,41,60,68,54,47,42,63,76,18,54,54,49,60,70,67,53,44,60,37,50,46,45,14,55,43,40,27,39,20,67,61,71,50,45,75,65,65,55,64,65,0,42,63,60,23,41,32,14,62,32,69,13,23,89,49,60,27,85,24,25,77,60,12,59,74,62,54,32,30,25,52,73,40,46,72,40,32,71,59,20,2,78,59,74,84,11,81,66,38,40,63,47,87,74,37,42,11,29,21,53,72,14,37,53,0,84,81,77,49,47,66,55,92,48,48,73,27,0,79,49,12,83,38,49,61,84,6,55,39,42,32,32,75,40,82,85,35,0,82,14,71,54,52,71,93,58,70,43,1
2007-12,57,52,35,22,35,37,35,60,75,23,42,47,15,96,48,74,44,40,53,74,49,27,79,38,33,23,30,52,38,47,32,74,57,54,88,52,100,55,0,47,57,29,70,37,35,86,53,34,48,84,72,54,73,55,66,69,71,38,24,51,38,97,44,100,28,81,17,52,53,29,67,38,41,50,30,67,63,61,79,74,51,83,76,51,72,27,17,16,49,43,43,73,78,25,71,26,45,46,71,39,33,78,51,73,70,58,51,72,36,35,99,53,49,82,91,16,58,58,34,30,42,74,66,28,50,28,59,15,41,44,71,54,73,30,53,51,36,46,77,14,18,37,26,58,5,13,52,36,38,77,47,66,100,26,45,76,65,22,19,47,38,48,43,43,78,24,55,76,59,42,42,86,6,49,38,92,73,73,45,52,58,73,17,42,65,0,33,23,85,100,41,87,16,37,54,27,40,27,67,66,77,27,30,66,73,45,59,86,42,81,72,85,87,62,74,75,53,63,59,53,54,66,80,28,42,26,36,52,35,30,57,38,90,61,38,50,57,82,51,33,61,50,55,37,35,66,1,33,44,56,50,56,50,56,37,10,36,36,16,35,63,15,83,65,36,69,38,61,11,42,79,32,71,50,55,37,59,39,66,59,16,52,39,48,30,64,26,1,15,42,53,47,43,59,40,27,4,77,0,65,10,37,37,49,0,40,50,61,34,74,64,54,45,35,55,81,18,47,45,72,52,52,64,34,49,67,28,57,37,34,12,47,34,38,21,34,21,74,61,71,45,46,73,52,62,49,67,61,0,38,59,55,26,36,24,13,53,28,75,17,28,68,40,54,23,90,24,24,63,51,10,59,47,50,43,26,59,19,68,72,43,36,70,42,26,64,66,20,1,64,68,89,80,13,67,61,34,34,77,44,72,100,30,49,14,32,20,42,70,21,41,57,1,72,100,63,41,28,57,69,100,49,37,61,23,0,90,40,12,94,40,51,67,89,7,47,33,46,26,26,82,38,80,85,35,0,71,7,70,48,47,56,93,55,62,48,1
2008-01,67,74,51,30,47,38,38,70,78,33,59,53,18,86,49,81,32,53,51,85,93,47,74,54,52,24,35,62,44,57,40,98,73,51,94,68,65,61,0,57,66,42,69,42,32,85,61,47,65,86,79,64,80,57,84,68,74,45,26,51,46,57,41,55,30,90,61,59,64,29,85,43,47,52,33,73,62,68,93,80,80,85,93,48,70,30,17,17,74,50,42,87,80,41,81,30,51,63,83,41,50,94,54,82,70,62,73,100,32,38,58,49,53,81,90,19,43,73,32,41,50,52,53,29,60,38,68,18,50,47,63,51,64,32,60,66,70,44,74,9,11,42,40,64,8,17,57,39,46,87,56,77,92,38,62,65,72,23,27,59,37,63,59,61,56,28,75,86,62,44,45,83,6,62,36,80,86,77,49,63,70,79,18,29,72,0,43,23,60,71,50,87,15,47,60,61,49,35,65,60,91,27,41,63,69,54,74,45,52,88,61,85,97,56,74,74,59,66,88,63,67,65,80,37,44,27,42,60,45,43,58,48,99,73,44,63,72,85,52,45,62,72,69,43,36,31,0,31,35,68,59,56,75,66,43,9,46,43,19,45,55,18,79,82,39,78,33,74,13,38,73,15,75,53,72,43,67,44,82,67,12,54,41,48,37,68,23,1,19,33,53,52,68,50,44,27,7,65,0,81,11,55,40,62,0,47,46,63,41,48,68,55,51,52,72,70,18,53,63,77,55,67,67,41,60,60,36,60,47,45,17,56,38,42,30,42,23,58,59,75,50,57,91,59,72,64,66,53,3,62,69,63,28,46,45,12,54,29,83,15,48,94,47,62,24,76,24,28,78,61,19,57,62,63,60,43,28,32,56,88,53,47,54,39,35,82,68,20,2,76,74,51,81,11,78,70,39,43,56,52,87,64,36,32,22,26,34,57,76,13,48,59,2,87,81,64,45,55,62,50,96,47,49,68,25,0,88,52,11,83,51,69,38,87,8,60,44,48,33,33,79,44,87,76,37,0,86,7,82,57,48,71,90,59,64,48,1
2008-02,70,60,43,64,47,37,36,67,73,33,46,53,20,83,50,80,29,55,46,79,63,38,76,55,63,25,34,58,46,54,31,86,77,53,97,57,52,75,0,59,65,41,66,45,31,86,65,52,70,89,83,59,86,62,78,70,80,42,27,51,49,52,43,50,31,88,80,59,60,39,93,41,47,60,45,72,63,62,84,86,79,90,100,55,59,32,19,18,65,48,44,75,77,40,77,29,55,58,76,42,52,85,58,72,73,65,75,88,30,39,56,57,62,80,91,19,51,77,30,35,48,48,54,28,67,40,66,21,57,51,57,59,71,33,60,62,65,54,66,8,11,46,42,66,8,15,58,37,47,93,56,75,93,100,58,70,67,26,32,63,37,64,51,60,62,28,80,79,58,45,68,80,6,65,45,81,75,76,49,74,71,82,34,30,73,0,47,21,58,68,51,83,15,47,62,43,48,38,68,60,88,28,45,70,61,52,68,41,54,90,57,83,83,55,66,69,63,66,84,64,69,66,77,36,43,23,46,66,39,42,63,44,98,64,48,68,61,92,70,51,59,74,71,50,44,32,0,33,34,65,58,46,60,69,45,11,48,40,21,45,55,17,83,79,38,77,48,78,11,39,68,13,73,53,72,51,69,45,78,69,17,59,43,51,40,75,34,1,21,34,48,46,64,48,55,31,18,67,0,88,10,53,56,67,0,55,51,64,48,46,73,71,56,53,80,67,18,59,59,83,57,72,68,50,53,62,39,58,52,44,14,56,46,46,31,40,18,59,57,76,54,65,84,62,73,64,70,58,0,42,65,64,42,47,37,13,72,43,87,15,43,90,48,60,30,75,25,29,76,58,18,51,57,69,61,35,21,21,40,83,58,51,54,39,31,73,69,19,2,80,61,50,83,9,83,72,38,41,62,51,95,64,31,32,21,28,32,57,82,13,39,56,10,79,77,68,49,48,69,52,100,49,48,73,26,0,87,48,11,83,33,71,37,83,7,60,43,49,51,51,75,47,78,74,35,0,76,10,79,57,49,69,95,62,70,42,0
2008-03,69,62,48,27,45,46,37,61,68,28,50,44,18,82,47,81,29,82,44,78,60,36,68,49,48,15,35,53,45,52,27,79,60,61,93,57,49,59,0,54,65,39,60,43,30,83,62,50,68,84,80,58,89,54,70,66,76,39,25,51,45,57,77,45,28,86,47,61,60,46,86,37,43,59,48,60,63,60,84,85,68,84,92,66,62,48,17,17,60,35,32,77,73,42,79,26,49,57,68,29,46,84,55,73,68,61,70,88,26,42,59,56,54,79,84,20,39,73,34,33,44,49,51,22,53,36,62,20,58,45,47,53,77,31,61,64,65,61,61,8,11,40,31,60,13,18,56,35,44,81,50,72,94,39,46,76,62,22,27,69,33,62,58,57,64,23,64,78,53,47,57,78,7,62,32,77,69,68,48,64,71,77,21,31,74,13,46,20,60,71,47,83,13,46,60,43,46,42,63,63,80,26,61,76,58,48,68,39,50,83,56,78,83,61,59,65,64,63,81,60,61,60,73,34,42,23,54,58,41,37,50,40,86,65,37,60,79,87,59,47,60,62,79,51,40,35,0,32,32,67,55,41,64,59,46,12,44,38,20,42,62,18,83,52,35,75,34,75,10,37,70,11,68,53,68,51,59,40,75,65,15,56,39,47,40,67,36,1,36,25,46,42,60,46,52,28,32,66,0,89,10,53,50,62,0,43,53,58,44,47,76,58,73,52,79,64,20,56,51,88,54,64,63,54,47,61,45,55,50,39,13,52,45,46,22,43,22,60,65,75,47,68,78,59,70,67,71,62,0,28,59,67,41,42,31,12,45,33,82,16,26,87,46,56,25,82,27,28,67,53,24,49,57,59,63,24,22,23,45,84,47,42,50,36,33,71,66,18,2,76,63,52,81,9,90,69,36,40,53,50,92,56,30,38,11,28,32,50,86,12,44,56,5,79,72,70,72,53,63,53,94,47,46,67,24,2,84,49,10,96,45,62,37,79,7,56,28,47,29,29,72,56,76,75,40,0,76,7,72,54,50,72,92,56,67,30,1
2008-04,69,63,45,26,48,36,33,67,69,33,71,57,18,82,48,86,28,87,40,82,63,40,79,50,50,23,34,61,45,53,32,81,76,58,92,57,41,61,0,61,68,41,64,45,35,86,69,51,68,87,79,60,88,57,72,68,82,38,28,51,48,59,42,41,30,89,46,57,61,45,86,42,50,53,64,63,66,58,93,86,62,89,96,55,59,37,17,18,64,51,39,80,71,50,98,30,49,64,70,35,49,95,58,74,71,65,71,78,33,45,57,47,57,77,91,19,33,76,32,39,49,48,50,25,68,35,63,23,51,51,53,60,88,33,60,66,82,69,58,9,13,42,34,65,18,16,57,36,46,81,56,77,89,24,58,72,64,26,29,74,39,58,52,60,63,23,71,91,51,55,58,81,7,66,47,79,44,69,50,69,80,77,69,30,73,0,64,20,59,72,50,86,13,48,57,54,57,42,64,64,84,29,66,84,55,51,68,35,52,91,55,79,92,67,57,54,66,67,95,72,70,60,72,36,43,21,46,62,42,35,64,42,92,70,38,64,66,95,51,46,63,69,88,53,43,35,0,33,35,66,58,48,51,62,41,18,44,41,21,40,71,18,86,62,32,100,30,75,9,44,68,11,63,55,74,52,63,44,74,65,12,58,41,47,33,70,33,1,30,48,44,41,84,44,59,29,30,75,0,90,9,48,60,58,0,47,52,57,38,48,87,60,58,46,80,60,19,64,53,75,57,74,67,60,50,62,50,59,52,43,14,53,52,42,30,40,23,59,63,74,54,66,83,62,71,69,80,57,0,30,64,67,50,43,44,13,51,41,83,17,56,87,45,59,24,79,28,32,76,59,24,46,62,63,67,33,20,19,60,80,59,45,51,39,39,68,69,18,1,82,64,52,83,15,84,62,35,39,56,52,94,57,31,49,21,28,31,54,77,13,49,52,17,78,73,79,57,46,63,51,93,50,49,77,25,0,81,50,11,83,34,70,36,72,8,60,41,48,33,33,70,44,76,76,37,0,83,7,71,55,50,73,93,61,69,42,1
2008-05,57,59,49,21,41,48,33,66,62,35,63,49,19,84,46,80,27,43,39,81,53,30,67,47,53,26,32,57,42,54,28,75,72,56,90,62,39,57,0,53,65,39,59,47,41,88,61,39,58,90,76,52,81,67,71,74,75,35,26,52,48,65,56,45,27,93,16,51,54,47,92,38,44,53,65,51,67,57,83,89,60,85,85,51,67,30,16,15,53,47,50,68,70,53,87,29,49,59,64,53,48,88,56,70,83,60,73,75,35,42,58,46,55,82,91,17,58,75,33,34,44,54,50,23,63,41,60,20,45,46,53,58,89,29,56,59,68,40,59,9,13,40,33,62,88,19,57,36,42,77,51,72,88,22,50,72,64,25,28,100,40,55,63,60,57,24,65,80,51,60,60,82,8,63,26,79,40,63,46,70,76,79,37,30,72,12,61,18,56,82,49,84,10,42,57,47,47,31,71,61,80,28,73,91,55,52,71,35,50,87,58,76,95,73,56,60,62,71,63,71,70,60,69,42,40,23,48,60,42,25,45,38,88,61,34,58,58,89,57,50,65,61,94,43,42,36,0,38,40,63,58,43,59,56,41,14,40,38,21,40,78,19,90,53,35,93,30,75,8,51,70,11,64,56,68,36,62,39,71,60,20,53,37,46,36,69,30,1,25,44,40,47,73,44,59,28,45,84,0,84,9,42,56,58,0,47,54,56,49,47,79,52,54,55,88,61,20,64,43,81,53,66,60,57,43,63,68,59,48,38,13,48,41,43,30,42,23,63,65,70,52,70,76,57,73,63,95,58,0,51,61,66,40,45,34,11,58,36,86,18,39,82,42,55,24,80,30,29,71,55,21,43,60,59,64,30,21,20,37,86,70,42,44,37,28,65,72,17,1,72,52,55,79,10,80,65,33,37,54,49,90,61,29,49,19,28,31,49,89,14,33,54,3,64,74,82,50,42,63,52,94,54,44,75,24,4,82,39,11,84,37,64,40,75,7,51,29,49,47,47,68,42,75,73,38,0,76,9,72,50,46,60,95,65,60,34,1
2008-06,57,55,46,21,44,40,32,68,66,49,54,47,19,84,51,79,28,33,46,80,47,48,89,48,48,19,33,59,45,55,22,80,77,58,89,68,45,58,0,53,65,42,60,48,48,88,81,45,58,90,78,59,84,59,78,84,73,37,25,55,47,64,29,48,30,89,9,53,62,46,86,38,48,52,100,43,67,59,83,92,60,82,95,38,53,28,18,16,63,45,54,65,74,55,89,29,51,62,66,43,51,87,56,71,71,62,64,78,34,35,54,52,56,79,88,18,68,72,37,38,45,54,52,24,66,42,61,28,45,43,54,62,80,29,59,63,66,54,61,10,14,54,32,63,65,33,53,39,43,73,51,74,88,19,49,80,65,26,22,71,30,54,56,65,53,28,68,83,52,59,61,85,10,68,38,78,40,66,49,71,71,78,31,29,68,0,57,21,53,87,44,84,10,44,65,49,46,31,65,58,90,30,64,92,55,50,70,34,50,82,59,76,89,71,59,54,61,69,65,67,64,61,69,57,40,29,43,59,44,24,39,33,86,63,42,58,66,90,74,47,66,64,91,42,35,34,0,39,37,66,64,41,47,51,43,11,39,37,19,39,77,20,86,49,36,91,23,75,9,45,73,11,61,60,68,49,56,35,73,62,13,51,37,43,29,70,32,1,23,44,41,49,90,44,79,27,54,81,0,89,10,56,56,52,0,44,54,54,40,42,72,55,55,49,77,63,19,59,42,75,55,71,62,27,46,65,71,58,43,41,15,47,39,49,30,47,25,61,70,74,55,78,72,55,76,63,87,63,0,60,65,66,43,43,29,12,62,34,84,31,30,86,43,62,35,79,31,29,74,58,22,43,56,59,67,29,20,23,45,86,89,35,48,36,29,65,70,16,1,72,49,58,80,12,88,67,31,43,51,55,98,57,24,47,16,27,32,51,87,12,44,52,7,67,78,82,51,34,58,54,90,54,47,74,24,2,87,54,9,85,32,72,44,80,8,51,36,48,41,41,70,38,77,74,40,0,78,7,82,52,46,62,95,55,59,51,0
