Month,AMP,ABC,AME,AMGN,APH,APC,ADI,ANTM,AON,APA,AWK,AMT,AIG,AXP,AEP,AAL,AMZN,MO,AAPL,ALL,ADS,ALXN,LNT,AGN,ALB,ALK,AKAM,APD,A,AFL,AMG,AET,AES,AAP,ADBE,AYI,ATVI,CAN,ABBV,ABT,MMM,AVB,AVY,BHI,BLL,BAC,BK,BCR,BAX,BBT,BDX,AMAT,ADM,AJG,AIZ,T,ADSK,ADP,AN,AZO,BSX,BBBY,BRK.B,BBY,BIIB,BLK,HRB,BA,BWA,BXP,CHRW,BMY,AVGO,BF.B,COG,CPB,COF,CBOE,HSIC,KMX,CCL,CAT,CBG,CBS,CELG,CNC,CNP,CTL,CERN,CF,CINF,SCHW,CHTR,CHK,CVX,CMG,CB,CHD,CI,XEC
2010-04,51,52,36,22,34,34,25,66,54,38,48,53,10,72,48,56,31,35,47,66,28,34,65,38,33,20,39,44,33,59,25,68,70,59,82,58,37,53,0,48,62,30,38,49,30,86,55,52,47,70,67,40,75,55,68,62,78,43,18,53,43,49,32,37,23,76,33,39,51,22,74,30,39,45,62,62,58,47,79,65,47,79,69,40,54,30,18,37,52,67,47,79,58,37,66,31,36,54,60,32
2010-05,42,42,36,60,29,40,24,63,54,28,44,51,8,70,47,55,31,31,44,64,21,28,54,35,29,13,40,38,33,53,26,60,63,58,76,45,35,57,0,47,60,21,36,55,35,77,49,42,46,67,68,35,74,49,66,64,70,33,17,53,36,51,30,37,22,75,7,37,49,21,73,25,36,35,46,55,55,57,82,63,44,78,63,37,50,27,18,33,49,40,44,64,55,35,65,32,34,46,54,37
2010-06,45,58,34,21,34,99,22,70,55,27,56,51,8,72,50,56,31,28,60,79,30,33,59,36,33,9,44,43,35,59,17,66,60,60,75,55,39,56,0,48,62,31,37,51,56,78,48,45,44,80,68,38,75,56,69,88,65,35,18,54,37,46,18,40,21,75,7,38,48,17,80,29,40,38,44,51,60,74,84,64,46,76,64,25,67,31,18,35,53,43,50,61,62,40,70,32,37,50,60,35
2010-07,45,61,32,17,30,58,21,64,78,58,57,55,8,74,48,59,33,28,54,85,30,37,59,42,31,4,40,41,31,56,32,65,67,69,71,65,35,56,0,47,59,27,37,47,72,85,51,40,43,88,66,40,70,50,70,89,60,40,21,67,36,55,18,44,23,73,8,40,49,21,88,27,34,38,62,46,63,47,77,74,47,73,62,29,67,28,18,38,52,40,44,59,64,40,67,39,36,37,59,28
2010-08,45,51,34,15,31,46,21,67,67,30,55,58,7,74,50,57,35,25,48,83,27,39,64,38,31,10,42,40,30,60,22,67,71,70,73,52,33,53,0,46,60,27,41,51,82,86,49,41,41,89,64,34,74,52,68,85,60,38,20,67,36,53,20,44,23,79,9,37,48,18,85,25,34,37,42,45,66,47,73,74,47,82,63,33,63,34,19,39,50,49,39,56,65,40,69,39,34,43,62,40
2010-09,44,52,32,17,30,43,23,66,60,100,50,45,7,73,49,57,37,30,56,85,24,36,60,41,34,19,45,44,31,61,23,66,57,68,78,55,31,54,0,57,59,29,45,45,66,85,51,37,40,86,62,33,76,47,66,79,70,37,20,62,37,45,22,46,24,77,8,39,46,18,84,26,32,43,57,55,68,45,83,84,41,80,65,50,55,24,17,38,57,36,35,61,62,38,65,36,33,45,62,39
2010-10,43,53,32,18,29,36,22,64,59,27,49,55,7,72,47,55,38,34,51,81,25,38,64,38,39,27,45,40,32,59,22,68,61,67,79,57,32,53,0,46,59,27,42,44,45,87,50,37,41,87,62,31,71,50,62,74,75,38,19,62,36,41,22,44,22,85,8,36,45,25,88,24,28,39,56,66,70,45,80,83,37,81,66,45,59,27,17,36,54,37,36,64,59,39,66,40,33,50,63,27
2010-11,41,41,33,17,29,39,20,66,55,33,52,57,7,76,45,54,49,31,57,79,26,36,63,39,40,14,45,38,31,58,16,70,60,65,75,51,52,51,0,42,58,24,45,41,39,87,48,34,41,85,61,33,70,49,58,75,71,37,17,61,37,61,20,77,27,79,11,39,47,18,88,24,31,35,50,97,74,43,84,81,51,85,66,43,51,29,18,35,53,50,34,60,59,43,64,40,34,43,66,27
2010-12,45,42,26,15,24,36,18,63,52,24,49,49,7,82,46,59,59,27,56,78,20,28,62,33,32,4,43,34,27,53,15,65,54,70,72,45,40,50,0,40,51,23,49,40,37,94,46,38,35,92,54,30,65,47,54,79,59,46,18,65,28,78,18,89,19,91,20,34,46,17,84,20,28,40,55,73,80,42,72,82,34,83,53,42,52,27,19,38,48,30,40,65,64,41,74,40,31,39,56,32
2011-01,47,47,30,19,25,46,20,71,55,30,52,49,8,76,47,62,45,29,50,82,23,32,67,39,35,23,44,37,29,62,21,72,58,65,72,55,37,55,0,48,55,28,45,47,31,87,51,43,44,87,56,30,71,52,59,75,66,53,19,62,35,47,19,54,21,88,68,39,49,28,88,23,28,38,48,84,75,43,83,88,55,76,62,40,60,33,18,38,53,37,38,68,62,47,68,42,32,50,64,24
2011-02,49,50,33,19,28,40,19,76,53,31,51,76,7,72,56,61,42,30,48,80,20,49,65,40,34,10,46,41,31,61,24,70,64,72,75,51,39,59,0,45,57,25,45,50,31,85,52,38,41,89,57,32,76,55,58,75,69,42,21,64,34,42,30,52,22,84,81,45,52,19,83,25,30,41,45,69,74,49,83,93,63,78,70,43,60,36,22,38,57,54,32,67,59,54,73,49,32,48,61,40
2011-03,49,53,34,19,30,36,18,64,53,26,52,58,6,73,46,61,40,29,58,78,25,47,65,42,48,14,48,37,33,100,23,65,57,74,76,59,28,52,0,44,60,26,43,48,30,86,52,40,42,88,55,35,75,56,58,82,73,39,21,64,34,46,41,49,25,79,40,40,51,23,81,25,33,46,52,55,75,42,83,85,70,79,66,49,59,33,18,38,61,50,41,65,57,46,73,58,34,49,63,34
2011-04,49,50,34,19,27,37,18,62,51,30,50,59,6,73,46,59,40,30,50,77,35,45,73,41,36,8,47,36,31,76,25,59,64,78,74,57,26,51,0,41,59,31,39,49,33,87,51,40,41,90,52,33,72,53,56,73,75,40,21,67,31,46,30,46,28,76,39,40,50,20,90,23,29,37,58,55,78,40,78,85,58,79,65,38,57,33,19,41,57,46,43,68,57,51,73,50,33,42,57,36
2011-05,39,48,33,49,26,34,17,60,54,21,52,51,6,72,45,59,40,24,49,78,23,47,57,37,38,8,43,36,31,61,18,56,58,76,73,63,32,49,0,42,59,25,42,48,34,85,44,42,38,86,51,41,71,50,53,72,70,38,19,64,31,48,23,46,24,73,8,36,49,18,88,23,31,33,48,48,76,36,81,84,59,75,61,37,54,34,19,37,55,41,39,53,55,49,70,47,32,40,56,33
2011-06,42,51,31,17,25,33,17,63,50,23,54,55,5,78,49,59,42,27,53,81,23,54,69,35,38,10,42,37,30,63,21,59,56,82,73,54,30,51,0,41,59,34,42,47,47,93,46,39,40,91,54,31,70,55,60,78,68,40,18,69,31,50,17,47,23,78,7,43,48,22,93,24,32,39,54,40,85,34,83,93,59,77,66,25,56,32,19,45,59,45,46,54,58,55,74,48,35,41,60,34
2011-07,43,46,32,15,24,36,17,62,48,24,57,58,5,78,51,60,44,25,53,83,25,39,75,32,39,11,41,38,28,60,20,57,58,86,69,52,25,51,0,41,57,29,40,51,75,96,45,36,37,92,54,31,68,50,59,76,60,42,20,77,32,58,17,50,22,74,8,42,49,25,87,22,27,39,61,39,88,36,79,100,62,77,63,29,51,36,19,47,61,41,46,58,61,60,70,50,33,35,59,45
2011-08,46,48,30,15,24,39,15,63,46,28,63,67,5,78,47,59,46,23,53,87,27,36,63,36,39,6,41,36,29,65,15,61,54,82,70,49,26,54,0,41,59,29,44,56,77,100,49,36,37,94,53,31,70,57,62,77,65,41,19,74,30,55,30,55,22,74,9,41,46,16,92,22,30,41,52,44,86,49,76,91,58,80,58,35,50,36,20,63,61,48,47,65,63,63,70,48,34,40,59,43
2011-09,38,48,30,14,25,39,17,63,51,28,55,56,4,76,46,56,46,26,52,80,25,37,67,34,40,7,39,36,29,67,19,58,60,79,74,53,23,56,0,41,58,28,43,56,62,96,44,38,38,92,53,30,68,53,56,71,74,39,19,71,30,47,25,50,24,69,7,45,45,17,91,23,27,43,41,54,83,38,80,84,44,83,61,56,54,41,19,77,64,47,40,54,60,58,71,45,33,49,59,36
2011-10,43,46,28,16,23,43,16,65,48,24,46,44,4,74,43,55,47,28,100,80,24,37,67,35,38,19,41,37,27,63,21,61,57,76,77,48,22,49,0,47,55,26,42,59,46,94,44,38,38,89,52,24,67,51,52,87,74,37,17,67,30,42,21,50,24,68,8,39,45,22,89,22,27,39,56,64,82,37,77,82,45,86,62,49,56,33,19,77,62,36,35,62,56,54,69,47,31,40,64,26
2011-11,37,45,31,16,24,46,16,63,45,25,44,41,4,77,42,57,59,25,63,76,20,30,58,34,35,13,100,33,27,61,17,62,55,75,74,48,41,47,0,43,56,22,42,62,37,89,41,34,37,88,51,28,64,48,53,74,74,40,18,65,28,61,21,93,21,65,12,43,42,15,83,22,27,36,41,77,84,35,80,79,41,86,63,49,50,32,18,81,52,46,38,54,57,55,78,43,32,42,63,29
2011-12,40,44,25,14,21,37,14,57,41,19,46,44,4,81,39,56,71,22,64,68,20,34,66,34,28,11,58,29,23,55,13,55,47,79,72,40,30,41,0,37,50,24,46,54,37,92,39,31,32,94,49,26,58,46,48,75,61,43,15,67,26,77,17,91,19,55,16,36,37,13,87,19,22,34,46,56,89,31,74,85,42,83,52,41,45,31,19,85,48,37,37,56,59,52,83,46,28,37,54,29
2012-01,44,53,30,17,23,45,14,70,45,25,50,59,4,77,42,58,56,25,55,78,26,48,68,46,32,17,55,36,25,63,16,64,55,82,72,47,28,46,0,43,55,23,42,63,37,85,44,36,37,94,50,27,62,53,55,68,69,58,19,68,27,48,18,59,21,68,75,39,44,20,92,25,24,36,74,65,86,34,80,93,78,85,62,40,57,34,19,86,55,40,39,59,60,65,75,49,32,48,66,31
2012-02,49,57,31,18,24,43,15,64,46,28,52,50,4,73,45,54,51,27,51,75,24,46,69,40,38,16,50,35,28,60,16,60,62,81,68,54,27,53,0,43,57,27,40,67,38,82,47,36,38,97,50,27,61,51,51,68,71,46,19,70,31,44,32,53,24,69,87,38,45,20,97,24,28,40,64,53,85,36,80,99,63,88,66,40,53,42,19,86,62,53,41,63,56,61,71,52,32,47,62,41
2012-03,45,55,29,16,23,42,14,61,42,25,48,47,4,73,41,55,50,23,65,74,24,47,64,41,35,15,48,33,28,54,13,57,56,82,69,49,24,46,5,43,57,27,35,64,36,80,47,34,37,90,47,26,65,57,50,66,76,43,23,72,28,45,25,47,23,67,38,35,45,18,86,22,29,40,60,42,83,39,82,88,51,82,61,43,51,35,18,81,58,43,37,58,53,57,73,48,29,44,58,33
2012-04,42,55,27,17,22,40,12,57,40,24,50,56,4,71,41,53,48,25,48,72,23,49,62,38,31,16,45,35,26,55,15,54,51,75,61,44,24,43,2,41,58,29,29,57,39,77,44,33,38,93,44,23,62,57,49,65,75,43,18,71,29,47,24,38,21,62,37,36,45,15,90,20,27,37,57,37,84,33,77,75,45,81,57,34,58,38,17,76,63,42,39,53,51,65,77,50,29,48,56,24
2012-05,36,50,30,38,22,42,12,54,40,27,53,53,4,72,43,52,47,24,45,70,25,44,57,37,29,11,45,32,27,53,19,52,56,73,59,53,27,44,2,41,59,26,29,58,44,76,39,35,36,91,44,26,62,54,51,65,70,41,19,70,27,48,29,37,20,65,8,35,44,15,91,20,27,35,43,37,80,33,76,73,43,80,59,32,54,41,17,79,62,45,38,48,50,85,76,51,29,41,53,28
2012-06,38,56,28,15,21,41,12,56,38,28,57,45,4,71,70,54,48,31,52,72,27,50,62,34,30,5,44,33,27,57,16,55,51,80,58,53,24,44,4,40,59,22,28,55,57,79,39,33,33,93,46,27,59,55,52,72,65,44,19,75,26,51,17,40,19,63,7,35,45,15,90,21,23,38,52,31,85,30,76,77,46,80,57,22,61,39,19,85,63,42,41,46,54,66,75,53,29,43,56,27
2012-07,39,46,28,14,21,42,11,59,43,26,68,49,4,74,100,54,50,30,49,75,27,46,74,35,26,5,44,36,26,56,18,57,52,83,56,58,26,43,4,40,59,24,27,55,73,84,39,36,35,92,45,23,59,57,57,73,61,46,20,80,27,57,16,41,19,62,8,35,45,19,96,20,27,40,47,30,85,29,75,83,46,78,58,25,51,41,17,88,65,36,41,46,60,46,81,57,29,38,56,31
2012-08,40,55,27,14,22,44,11,61,43,26,57,52,4,75,48,53,52,28,51,76,26,48,72,38,33,10,46,32,26,57,14,62,47,79,57,58,23,43,4,39,59,20,30,57,79,87,39,36,36,98,44,23,62,58,61,72,64,49,19,79,27,55,16,42,20,60,8,33,44,16,93,21,26,35,40,31,88,30,76,81,46,79,57,28,49,41,17,93,63,47,41,47,60,45,92,54,30,51,58,28
2012-09,39,47,27,14,21,44,11,55,48,27,52,49,4,74,43,51,54,27,90,71,26,62,65,33,27,13,46,31,25,54,19,56,45,78,58,48,20,46,7,40,56,24,28,58,69,86,35,32,36,91,43,21,61,57,56,92,71,50,18,76,27,47,17,42,21,64,7,33,45,13,94,19,25,35,34,46,84,30,76,75,39,81,55,43,51,40,15,88,60,36,38,47,57,41,77,49,27,37,56,30
2012-10,41,41,28,15,22,37,12,58,46,26,54,45,4,73,49,50,56,24,67,71,24,57,62,35,28,11,50,34,26,56,15,61,51,75,56,65,21,43,9,44,57,22,28,56,47,81,36,35,35,100,42,24,60,57,60,76,75,50,16,74,27,40,17,40,20,66,8,32,45,17,100,19,24,36,40,54,88,29,76,68,38,84,58,45,63,34,16,83,63,40,37,44,53,36,77,56,28,39,61,20
2012-11,34,41,24,13,19,35,11,54,41,23,52,46,4,75,41,46,71,21,64,68,24,45,57,32,25,16,43,29,24,55,16,57,46,73,54,55,44,39,10,38,55,27,27,49,44,77,33,26,36,93,41,20,56,52,51,74,71,47,15,72,26,59,19,77,17,59,12,32,39,14,89,17,24,34,31,58,82,28,76,65,34,80,57,41,58,31,16,81,56,61,32,42,50,30,74,49,27,39,57,22
2012-12,38,34,22,11,16,33,10,52,37,19,47,39,4,76,40,46,82,19,61,61,24,33,63,28,22,7,42,22,20,50,10,51,44,70,51,44,31,38,14,35,48,21,29,41,41,83,31,23,31,97,38,18,50,45,45,74,56,47,16,74,20,77,18,75,16,54,13,29,36,11,87,15,19,32,32,42,85,25,67,67,35,79,45,38,46,30,18,83,48,40,35,44,51,30,68,48,23,31,51,23
2013-01,43,45,25,17,20,41,10,64,44,25,54,48,6,74,44,52,63,22,52,73,27,43,61,36,24,11,44,28,24,61,17,66,46,71,61,54,31,42,67,43,55,26,27,55,40,78,38,33,36,99,43,23,58,52,54,66,65,70,17,73,26,47,20,43,23,68,62,45,40,15,96,19,22,33,49,51,86,29,80,76,54,78,55,33,68,34,18,89,60,41,39,52,54,39,80,55,27,43,64,32
2013-02,44,45,28,17,19,39,11,58,43,29,53,49,5,72,41,52,59,26,47,74,29,45,62,38,30,15,45,29,25,59,19,58,52,77,61,70,32,52,45,38,56,30,28,56,37,82,39,34,34,98,43,25,60,55,53,63,70,56,38,73,29,43,28,40,23,68,100,34,41,16,94,18,21,31,54,50,86,30,78,82,100,80,59,42,73,39,17,86,64,55,39,52,53,39,81,55,27,45,59,27
2013-03,48,53,24,16,20,40,11,53,41,24,47,52,5,71,38,50,57,25,44,72,24,47,53,36,26,11,42,26,23,55,13,55,49,79,55,59,26,43,43,36,56,31,27,55,41,76,52,29,34,96,41,22,56,51,53,61,70,53,40,75,25,46,32,37,25,67,48,32,40,21,87,18,21,33,44,40,86,29,75,77,62,78,56,39,71,36,16,81,66,45,39,51,52,34,83,55,25,39,53,26
2013-04,45,52,24,16,21,43,10,55,43,25,50,47,5,73,41,49,55,23,42,70,31,51,65,36,28,14,43,30,24,55,12,55,54,76,53,69,22,42,48,36,59,28,27,56,46,74,39,32,35,95,41,23,59,54,55,61,75,51,39,74,28,45,22,32,25,66,38,33,42,22,91,19,25,33,43,34,84,36,80,73,49,81,56,34,81,42,17,81,65,52,36,54,47,33,83,57,28,42,55,35
2013-05,40,48,24,33,19,41,10,52,41,23,54,48,5,73,41,48,54,21,40,68,26,58,60,36,22,12,42,27,24,52,15,52,44,78,51,59,22,40,46,34,59,32,25,58,46,74,34,34,34,88,41,27,55,56,55,62,69,49,54,76,27,46,33,33,22,72,9,33,44,18,86,18,22,32,47,29,82,27,87,73,42,78,55,28,70,34,18,85,65,47,41,50,49,35,86,60,26,37,54,34
2013-06,35,49,24,13,20,35,10,50,40,22,50,43,5,74,48,50,55,20,47,70,24,46,62,33,27,10,40,24,24,50,15,50,45,82,47,59,18,41,45,33,60,28,23,53,58,73,33,34,32,86,40,20,56,55,56,64,63,50,67,81,23,48,19,35,20,65,7,32,44,19,82,17,21,35,38,26,82,27,77,73,38,75,52,21,69,37,18,84,67,98,38,45,49,26,88,60,27,31,52,31
2013-07,41,52,24,14,21,38,9,52,41,26,54,59,5,77,49,50,56,21,42,74,28,85,64,35,23,15,42,31,24,55,12,53,47,86,46,63,19,44,51,33,58,28,24,62,74,75,35,34,34,89,41,22,55,54,62,67,61,53,76,83,26,54,20,36,21,71,9,40,42,14,87,19,22,33,56,25,90,25,75,77,41,76,57,26,76,46,19,90,72,55,38,49,51,29,99,68,26,36,55,37
2013-08,38,49,25,15,18,44,9,54,39,24,55,53,5,76,43,48,59,22,44,73,31,59,65,33,23,8,40,28,22,59,13,55,42,84,44,59,18,43,47,40,55,29,25,54,84,75,34,36,32,91,39,23,54,59,60,71,62,54,71,82,26,54,20,38,20,70,8,29,42,16,86,16,20,36,55,27,92,27,71,77,38,77,52,32,64,38,18,97,73,55,37,46,57,31,100,61,25,32,56,31
2013-09,39,42,25,14,18,45,10,54,42,24,58,58,5,72,41,44,58,22,74,67,27,54,61,34,26,13,43,29,24,56,13,54,39,78,44,50,16,45,51,40,56,22,25,56,74,68,33,35,34,84,40,44,57,57,59,76,70,51,65,76,26,44,20,36,21,63,7,31,39,14,82,18,22,34,42,36,86,26,74,69,36,80,56,42,69,41,17,91,68,42,41,45,56,32,94,62,27,35,55,31
2013-10,40,43,28,14,19,46,10,62,41,21,52,56,5,72,42,43,58,22,55,67,31,57,58,35,27,16,44,27,24,56,15,63,48,79,49,60,17,44,56,34,57,30,26,55,51,67,35,37,32,81,39,26,58,58,63,65,77,55,61,71,27,41,25,35,22,71,8,31,46,17,87,19,22,38,53,41,84,27,82,66,37,84,60,38,82,47,18,86,73,60,40,47,50,33,91,62,27,30,65,51
2013-11,38,43,22,13,19,43,9,58,40,20,46,41,5,73,42,42,68,23,53,63,29,48,56,29,20,23,43,25,22,55,16,58,49,80,46,47,24,42,50,31,54,23,24,48,49,65,32,31,30,76,40,21,54,53,59,63,72,55,58,71,24,58,25,67,20,62,11,40,42,16,78,18,20,33,44,45,85,23,84,63,32,83,54,35,66,41,16,82,59,50,32,46,49,24,91,57,23,35,62,29
2013-12,38,40,19,11,16,42,8,60,39,16,50,40,4,80,39,46,83,21,50,62,25,37,51,28,20,12,40,21,18,51,11,55,37,79,41,40,18,39,47,28,49,21,25,42,45,69,28,27,28,85,37,20,50,47,61,68,58,59,62,73,23,79,23,74,17,67,15,31,38,12,75,18,40,32,42,35,91,24,70,65,33,80,46,32,61,44,17,87,58,45,29,48,53,20,89,59,22,29,55,28
2014-01,42,49,25,17,20,40,9,74,44,21,100,43,5,76,46,51,62,23,45,70,32,61,60,35,22,16,43,27,22,54,13,69,49,80,45,61,17,47,57,32,56,31,25,52,44,67,33,35,34,83,39,24,54,56,70,64,65,80,66,73,26,47,29,40,23,85,53,35,45,16,81,20,26,40,52,38,88,26,88,75,51,81,58,33,78,45,20,94,67,46,39,51,58,26,94,67,25,35,67,40
2014-02,45,46,27,15,20,43,9,67,45,25,58,45,5,72,45,48,57,26,40,71,34,63,60,36,24,14,46,28,24,52,13,60,49,81,44,60,16,51,62,32,57,27,23,54,43,66,34,31,34,85,40,24,56,54,70,67,70,62,68,77,26,42,31,36,24,71,92,31,45,16,85,18,26,30,48,35,88,27,82,78,47,79,57,29,76,44,19,90,70,53,42,51,54,26,94,70,26,38,59,46
2014-03,42,46,24,14,19,40,9,65,44,20,53,44,5,72,43,47,56,24,39,70,30,64,60,34,23,15,43,25,23,50,15,59,45,88,41,53,15,43,58,32,57,32,23,52,47,64,32,32,36,80,39,22,54,60,71,63,71,58,76,78,24,47,45,34,24,68,43,79,46,14,76,18,25,37,50,32,87,26,80,77,47,79,56,35,87,47,19,87,66,46,40,50,52,24,90,79,24,38,59,56
2014-04,42,45,25,16,19,48,9,59,42,19,51,46,5,73,42,46,55,21,38,68,30,77,64,57,29,16,46,25,23,50,14,57,53,89,42,61,14,41,65,33,58,29,22,58,50,64,41,33,35,80,38,21,55,68,68,62,71,58,76,77,25,45,36,31,25,67,37,44,41,19,83,17,27,32,55,27,87,25,78,75,37,79,55,27,90,48,18,85,73,47,46,49,52,25,87,79,25,34,59,46
2014-05,39,42,25,32,19,39,9,56,44,20,55,50,5,72,43,46,55,19,39,68,25,61,63,54,19,20,42,23,21,48,15,52,42,89,40,52,17,41,58,33,58,28,23,59,53,62,32,30,33,79,38,22,55,67,62,60,68,56,78,79,25,47,40,30,22,64,8,32,45,13,73,17,32,34,36,23,85,23,78,72,38,79,55,24,72,46,19,85,63,42,39,43,50,24,88,83,24,34,57,48
2014-06,39,51,24,13,19,43,9,57,43,22,58,46,5,75,48,45,55,20,42,69,28,63,75,47,22,12,42,26,22,48,17,53,39,85,39,55,14,42,71,32,57,26,20,56,62,61,31,35,32,78,36,22,53,64,67,59,60,58,77,77,24,47,31,32,22,62,6,31,43,13,72,17,28,33,37,21,85,25,80,70,40,79,55,19,85,51,19,87,68,45,42,45,53,23,85,80,26,34,59,36
2014-07,42,45,25,16,20,40,8,59,46,21,59,50,5,76,49,46,57,23,40,71,31,64,71,51,34,31,42,27,23,47,18,55,36,90,37,55,14,44,100,34,59,26,21,57,78,63,34,31,32,82,36,27,56,70,70,60,58,62,86,81,24,55,34,33,21,69,9,63,44,16,76,16,28,32,42,20,89,26,83,74,41,81,58,22,79,47,20,93,72,41,43,47,55,24,88,80,26,29,62,34
2014-08,41,43,24,14,17,39,8,56,43,24,58,48,5,76,47,43,60,19,42,70,23,62,66,43,25,9,41,25,20,48,15,55,41,93,38,58,15,43,64,31,57,27,22,57,86,63,30,29,32,78,36,25,56,65,67,61,62,63,88,81,25,55,43,36,22,63,8,36,45,14,72,14,33,34,46,23,93,21,76,75,38,81,52,25,69,45,19,98,100,46,39,45,72,22,91,78,24,31,58,41
2014-09,37,44,24,13,19,40,9,57,44,23,55,48,5,74,45,41,60,37,87,68,31,67,63,42,32,7,43,26,22,51,16,57,48,85,40,50,17,51,76,34,59,27,22,63,72,61,30,30,34,77,37,24,60,68,70,81,72,62,78,75,26,44,37,35,22,66,7,35,44,15,73,17,31,34,50,28,93,24,96,71,35,88,56,41,72,49,19,95,76,73,37,44,56,23,90,71,27,34,61,40
2014-10,37,46,26,16,20,40,8,60,44,22,56,44,5,73,46,41,66,24,56,66,28,79,60,45,23,13,42,26,21,52,12,61,63,83,40,62,14,46,92,35,60,23,21,64,52,59,29,34,34,76,39,22,58,65,69,69,72,62,74,73,26,39,37,32,22,70,8,32,43,20,78,17,31,32,52,33,89,26,88,67,35,90,58,34,83,47,18,88,67,52,37,45,52,24,86,76,26,35,67,43
2014-11,37,37,22,13,18,35,8,57,41,20,48,42,5,75,43,39,76,22,50,62,22,60,52,58,21,15,41,22,18,51,12,60,39,83,37,55,21,44,70,37,56,20,21,100,45,56,28,25,30,75,37,21,55,61,71,64,67,64,74,76,24,58,35,63,19,66,12,31,43,12,71,16,27,29,30,36,88,21,78,63,32,90,53,34,68,45,19,83,64,42,35,42,51,20,80,72,24,32,67,40
2014-12,35,34,20,12,16,35,7,58,39,23,52,35,4,77,40,40,85,19,48,61,25,45,53,32,19,12,38,20,16,49,12,57,33,79,36,52,16,39,72,31,51,23,21,51,44,59,27,26,27,78,36,18,50,57,78,65,59,67,81,72,20,75,34,63,20,65,13,30,39,11,75,14,28,33,40,29,94,22,73,61,32,88,46,32,74,43,19,88,54,37,37,45,52,24,84,76,22,29,62,39
2015-01,37,44,24,14,17,35,8,64,42,24,56,40,5,72,43,44,69,22,42,71,28,66,55,34,28,12,38,23,17,50,11,64,38,79,36,65,16,40,76,32,54,29,19,63,51,57,29,31,31,76,38,21,54,64,78,57,62,94,84,75,24,46,35,35,25,72,56,32,43,13,73,16,28,30,40,35,91,20,82,69,49,83,55,27,79,48,20,90,65,41,37,45,51,22,83,91,24,33,69,44
2015-02,42,43,25,14,18,33,8,100,42,20,58,54,5,71,46,45,63,25,40,70,26,71,59,36,26,22,39,25,19,51,14,60,45,84,37,69,16,44,79,36,57,28,21,54,56,57,30,31,33,77,38,22,55,72,74,52,67,73,85,77,26,40,42,32,24,75,83,31,49,15,79,17,34,30,46,30,91,22,89,76,51,83,58,28,83,54,20,88,78,49,39,49,48,23,80,79,23,41,65,44
2015-03,40,44,24,17,19,30,8,67,39,18,58,47,5,69,47,46,60,24,46,70,24,70,63,41,23,16,38,23,18,48,12,56,58,94,36,74,14,45,90,35,60,28,20,46,48,54,31,32,33,75,39,21,57,72,68,49,71,66,82,85,26,43,54,30,36,80,45,34,47,15,74,17,37,31,33,25,90,22,86,75,44,82,60,30,88,52,18,83,69,48,38,46,48,24,78,73,25,33,63,33
2015-04,39,46,25,17,19,33,8,60,38,17,59,46,5,69,47,45,59,24,41,71,26,67,63,36,23,22,39,23,17,49,13,55,44,90,36,68,16,46,76,33,60,23,22,45,49,56,34,32,33,76,38,28,55,74,72,49,68,67,79,84,26,44,47,30,30,80,38,32,46,16,81,17,35,34,43,22,94,20,80,73,42,83,61,24,90,53,19,85,72,49,39,48,48,21,76,92,24,34,62,38
2015-05,35,43,24,28,18,31,7,51,39,15,53,42,5,68,47,47,60,20,39,69,24,100,60,33,23,12,36,23,16,49,12,50,44,93,33,60,14,45,70,31,58,20,20,43,49,55,28,27,31,76,37,20,54,69,68,50,61,65,80,85,23,46,52,31,24,65,8,29,44,15,71,15,100,31,26,19,93,18,80,73,48,81,54,24,78,50,19,84,64,45,38,40,53,19,78,90,22,31,56,31
2015-06,36,51,25,15,19,31,7,56,40,17,65,45,5,71,51,49,60,22,43,76,29,89,66,40,22,9,37,72,17,52,11,58,41,93,33,67,16,49,68,32,60,23,21,38,59,57,30,31,33,76,38,20,55,75,73,55,60,70,100,89,26,47,41,32,25,65,7,34,43,15,76,18,62,36,25,19,95,18,83,72,47,80,60,18,80,61,19,88,72,54,40,40,51,19,79,84,25,34,68,35
2015-07,37,52,25,15,20,33,7,61,39,16,66,45,5,72,52,50,67,22,43,76,29,71,65,53,23,14,38,25,17,53,13,61,64,95,36,72,13,52,66,31,58,22,20,41,70,58,28,34,33,80,37,19,53,71,70,56,56,72,98,92,25,52,40,34,35,67,9,34,52,13,80,16,43,30,34,19,100,21,83,74,47,81,59,19,100,100,21,94,85,70,42,43,51,24,83,100,43,32,73,32
2015-08,36,45,25,14,17,31,7,54,36,15,68,44,5,71,47,49,68,30,43,76,28,60,64,42,28,15,38,22,15,51,11,54,40,98,32,68,20,48,64,32,59,24,20,37,73,59,30,31,29,82,37,21,54,72,69,57,62,71,94,94,25,53,49,37,25,68,8,32,45,13,71,15,41,29,31,20,100,23,79,73,46,81,56,22,79,66,22,100,86,86,47,44,55,26,92,99,26,37,65,41
2015-09,34,45,24,15,17,29,7,53,39,14,63,47,5,68,48,46,65,30,63,71,29,83,61,41,24,10,37,25,16,52,11,55,43,91,32,70,13,53,68,37,60,24,21,37,60,55,28,43,28,72,37,18,56,75,65,62,66,68,86,87,26,43,37,34,25,66,8,32,48,15,77,16,38,31,31,24,96,21,86,68,43,89,62,36,79,62,19,96,80,54,45,38,52,32,83,86,26,32,63,34
